Year,GDP-US $ million nominal, ,Population-US million,Total Direct Revenue - Federal $ million nominal,Source
1930,92200,a,123.203,4830.2,i
1931,77400,a,124.071,3979.2,i
1932,59500,a,124.945,2634,a
1933,57200,a,125.825,3260,i
1934,66800,a,126.712,3886,a
1935,74200,a,127.605,4531,i
1936,84800,a,128.504,5176,a
1937,93000,a,129.41,6201,i
1938,87400,a,130.321,7226,a
1939,93400,a,131.24,7113,i
1940,102900,a,132.165,6548,a
1941,129300,a,133.966,8712,a
1942,166000,a,135.792,14634,a
1943,203100,a,137.643,24001,a
1944,224400,a,139.519,43747,a
1945,228000,a,141.421,45159,a
1946,227500,a,143.349,39296,a
1947,249600,a,145.303,38514,a
1948,274500,a,147.283,41560,a
1949,272500,a,149.291,39415,a
1950,299800,a,151.326,39443,a
1951,346900,a,153.917,51616,a
1952,367300,a,156.552,66167,a
1953,389200,a,159.232,69608,a
1954,390500,a,161.958,69701,a
1955,425500,a,164.731,65451,a
1956,449400,a,167.551,74587,a
1957,474000,a,170.42,79990,a
1958,481200,a,173.337,79636,a
1959,521700,a,176.305,79249,a
1960,542400,a,179.323,92492,a
1961,562200,a,181.588,94388,a
1962,603900,a,183.881,99676,a
1963,637500,a,186.204,106560,a
1964,684500,a,188.555,112613,a
1965,742300,a,190.937,116817,a
1966,813400,a,193.348,130835,a
1967,860000,a,195.79,148822,a
1968,940700,a,198.263,152973,a
1969,1017600,a,200.766,186882,a
1970,1073300,a,203.302,192807,a
1971,1164900,a,205.515,187139,a
1972,1279100,a,207.752,207309,a
1973,1425400,a,210.013,230799,a
1974,1545200,a,212.299,263224,a
1975,1684900,a,214.609,279090,a
1976,1873400,a,216.945,298060,a
1977,2081800,a,219.307,355559,a
1978,2351600,a,221.694,399561,a
1979,2627300,a,224.107,463302,a
1980,2857300,a,226.546,517112,a
1981,3207000,a,228.67,599272,a
1982,3343800,a,230.815,617766,a
1983,3634000,a,232.979,600562,a
1984,4037600,a,235.164,666438,a
1985,4339000,a,237.369,734037,a
1986,4579600,a,239.595,769155,a
1987,4855200,a,241.842,854287,a
1988,5236400,a,244.11,909238,a
1989,5641600,a,246.399,991104,a
1990,5963100,a,248.71,1031960,a
1991,6158100,a,251.802,1054990,a
1992,6520300,a,254.933,1091210,a
1993,6858600,a,258.103,1154330,a
1994,7287200,a,261.312,1258570,a
1995,7639700,a,264.561,1351790,a
1996,8073100,a,267.85,1453050,a
1997,8577600,a,271.18,1579230,a
1998,9062800,a,274.552,1721730,a
1999,9631200,a,277.966,1827450,a
2000,10251000,a,282.172,2025190,a
2001,10581900,a,285.082,1991080,a
2002,10929100,a,287.804,1853140,a
2003,11456500,a,290.326,1782310,a
2004,12217200,a,293.046,1880110,a
2005,13039200,a,295.753,2153610,a
2006,13815600,a,298.593,2406870,a
2007,14474200,a,301.58,2567980,a
2008,14769900,a,304.375,2523990,a
2009,14478100,a,307.007,2104990,a
2010,15049000,a,309.327,2162710,a
2011,15599700,a,311.583,2303470,a
2012,16254000,a,313.878,2449990,a
2013,16843200,a,316.06,2775110,a
2014,17550700,a,318.386,3021490,a
2015,18206000,a,320.739,3249890,a
2016,18695100,a,323.072,3267960,a
2017,19477300,a,325.122,3316180,a
2018,20533100,a,326.838,3329910,a
2019,21381000,a,328.33,3463360,a
2020,21060500,a,331.512,3421160,a
2021,23315100,a,332.032,4047110,a
2022,25464500,a,333.288,4897400,a
2023,26335700,b,334.548,4439280,a
2024,27237500,b,335.814,5036380,b
