DATE, SGDP
12/31/1960,9.52274688
12/31/1961,10.71271265
12/31/1962,11.87998296
12/31/1963,13.06364402
12/31/1964,14.48055682
12/31/1965,15.34674193
12/31/1966,16.48005898
12/31/1967,17.74001348
12/31/1968,18.9427301
12/31/1969,20.52488696
12/31/1980,122.5572345
12/31/1981,112.2424246
12/31/1982,115.0447822
12/31/1983,114.6320832
12/31/1984,109.4560886
12/31/1985,110.979185
12/31/1986,159.0884471
12/31/1987,199.2374834
12/31/1988,215.5406253
12/31/1989,208.1026667
12/31/1990,265.7715454
12/31/1991,268.9032565
12/31/1992,279.9177764
12/31/1993,272.2344564
12/31/1994,301.3767078
12/31/1995,352.8450067
12/31/1996,340.1012079
12/31/1997,294.7856599
12/31/1998,303.4562288
12/31/1999,297.8825667
12/31/2000,279.2090074
12/31/2001,286.5801252
12/31/2002,309.2999341
12/31/2003,362.088306
12/31/2004,403.9142445
12/31/2005,418.2927041
12/31/2006,441.6194091
12/31/2007,490.7546838
12/31/2008,567.273005
12/31/2009,554.1916793
12/31/2010,598.8510289
12/31/2011,715.8881267
12/31/2012,686.4202216
12/31/2013,706.2349374
12/31/2014,726.5378083
12/31/2015,694.1181864
12/31/2016,687.8954609
12/31/2017,695.2008331
12/31/2018,725.5625344
12/31/2019,721.3691127
12/31/2020,739.9136198
12/31/2021,800.6401554
12/31/2022,807.7060354
