DATE,CPI,GDP,FEDREV_mm_nom,PCE,FEDFUNDS,GFDEBTN,PSAVERT,REVOLSL,UNRATE,INFL
1930-01-01,,,4830.2,,,,,,,
1931-01-01,,,3979.2,,,,,,,
1932-01-01,,,2634.0,,,,,,,
1933-01-01,,,3260.0,,,,,,,
1934-01-01,,,3886.0,,,,,,,
1935-01-01,,,4531.0,,,,,,,
1936-01-01,,,5176.0,,,,,,,
1937-01-01,,,6201.0,,,,,,,
1938-01-01,,,7226.0,,,,,,,
1939-01-01,,,7113.0,,,,,,,
1940-01-01,,,6548.0,,,,,,,
1941-01-01,,,8712.0,,,,,,,
1942-01-01,,,14634.0,,,,,,,
1943-01-01,,,24001.0,,,,,,,
1944-01-01,,,43747.0,,,,,,,
1945-01-01,,,45159.0,,,,,,,
1946-01-01,,,39296.0,,,,,,,
1947-01-01,21.48,243.164,38514.0,,,,,,,
1947-02-01,21.62,,,,,,,,,
1947-03-01,22.0,,,,,,,,,
1947-04-01,22.0,245.968,,,,,,,,
1947-05-01,21.95,,,,,,,,,
1947-06-01,22.08,,,,,,,,,
1947-07-01,22.23,249.585,,,,,,,,
1947-08-01,22.4,,,,,,,,,
1947-09-01,22.84,,,,,,,,,
1947-10-01,22.91,259.745,,,,,,,,
1947-11-01,23.06,,,,,,,,,
1947-12-01,23.41,,,,,,,,,
1948-01-01,23.68,265.742,41560.0,,,,,,3.4,10.24208566108007
1948-02-01,23.67,,,,,,,,3.8,9.481961147086034
1948-03-01,23.5,,,,,,,,4.0,6.8181818181818175
1948-04-01,23.82,272.567,,,,,,,3.9,8.272727272727275
1948-05-01,24.01,,,,,,,,3.5,9.38496583143509
1948-06-01,24.15,,,,,,,,3.6,9.375000000000002
1948-07-01,24.4,279.196,,,,,,,3.6,9.761583445793963
1948-08-01,24.43,,,,,,,,3.9,9.062500000000005
1948-09-01,24.36,,,,,,,,3.8,6.654991243432573
1948-10-01,24.31,280.366,,,,,,,3.7,6.110868616324742
1948-11-01,24.16,,,,,,,,3.8,4.770164787510848
1948-12-01,24.05,,,,,,,,4.0,2.7338744126441714
1949-01-01,24.01,275.034,39415.0,,,,,,4.3,1.393581081081089
1949-02-01,23.91,,,,,,,,4.7,1.0139416983523382
1949-03-01,23.91,,,,,,,,5.0,1.7446808510638303
1949-04-01,23.92,271.351,,,,,,,5.3,0.41981528127624446
1949-05-01,23.91,,,,,,,,6.1,-0.41649312786339615
1949-06-01,23.92,,,,,,,,6.2,-0.9523809523809394
1949-07-01,23.7,272.889,,,,,,,6.7,-2.8688524590163906
1949-08-01,23.7,,,,,,,,6.8,-2.9881293491608694
1949-09-01,23.75,,,,,,,,6.6,-2.5041050903119846
1949-10-01,23.67,270.627,,,,,,,7.9,-2.632661456190856
1949-11-01,23.7,,,,,,,,6.4,-1.9039735099337782
1949-12-01,23.61,,,,,,,,6.6,-1.8295218295218347
1950-01-01,23.51,280.828,39443.0,,,,,,6.5,-2.082465639316951
1950-02-01,23.61,,,,,,,,6.4,-1.2547051442910946
1950-03-01,23.64,,,,,,,,6.3,-1.1292346298619806
1950-04-01,23.65,290.383,,,,,,,5.8,-1.128762541806033
1950-05-01,23.77,,,,,,,,5.5,-0.5855290673358451
1950-06-01,23.88,,,,,,,,5.4,-0.1672240802675698
1950-07-01,24.07,308.153,,,,,,,5.0,1.5611814345991604
1950-08-01,24.2,,,,,,,,4.5,2.109704641350211
1950-09-01,24.34,,,,,,,,4.4,2.4842105263157888
1950-10-01,24.5,319.945,,,,,,,4.2,3.5065483734685183
1950-11-01,24.6,,,,,,,,4.2,3.797468354430389
1950-12-01,24.98,,,,,,,,4.3,5.802626005929695
1951-01-01,25.38,336.0,51616.0,,,,,,3.7,7.954062101233507
1951-02-01,25.83,,,,,,,,3.4,9.402795425667087
1951-03-01,25.88,,,,,,,,3.4,9.475465313028758
